ListSchema={"schemaXmlList":["<Field ID=\"{fa564e0f-0c70-4ab9-b863-0177e6ddd247}\" Type=\"Text\" Name=\"Title\" DisplayName=\"Title\" Required=\"TRUE\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"Title\" FromBaseType=\"TRUE\" MaxLength=\"255\" />","<Field ID=\"{67df98f4-9dec-48ff-a553-29bece9c5bf4}\" Type=\"Attachments\" Name=\"Attachments\" DisplayName=\"Attachments\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"Attachments\" FromBaseType=\"TRUE\" />","<Field Description=\"\" DisplayName=\"Species \" EnforceUniqueValues=\"FALSE\" Format=\"Dropdown\" Indexed=\"FALSE\" MaxLength=\"255\" Name=\"Species_x0020_\" Required=\"FALSE\" Title=\"Species \" Type=\"Text\" ID=\"{bc21fb3d-6cff-450b-87ec-a7cf730a4849}\" StaticName=\"Species_x0020_\" />","<Field AppendOnly=\"FALSE\" Description=\"\" DisplayName=\"Egg #\" Format=\"Dropdown\" IsolateStyles=\"TRUE\" Name=\"Egg_x0020__x0023_\" Required=\"FALSE\" RichText=\"FALSE\" RichTextMode=\"FullHtml\" Title=\"Egg #\" Type=\"Note\" ID=\"{79fc3eb5-8c7d-4749-b35b-4ddc9c5b0409}\" StaticName=\"Egg_x0020__x0023_\" />","<Field AppendOnly=\"FALSE\" Description=\"\" DisplayName=\"Nestlings \" Format=\"Dropdown\" IsolateStyles=\"TRUE\" Name=\"Nestlings_x0020_\" Required=\"FALSE\" RichText=\"FALSE\" RichTextMode=\"FullHtml\" Title=\"Nestlings \" Type=\"Note\" ID=\"{9878acee-1022-4f2b-a009-6ab328edc6a5}\" StaticName=\"Nestlings_x0020_\" />","<Field AppendOnly=\"FALSE\" Description=\"\" DisplayName=\"Fledglings \" Format=\"Dropdown\" IsolateStyles=\"TRUE\" Name=\"Fledglings_x0020_\" Required=\"FALSE\" RichText=\"FALSE\" RichTextMode=\"FullHtml\" Title=\"Fledglings \" Type=\"Note\" ID=\"{91a9ea0b-9f45-45a6-8aaf-19ead1ee4e20}\" StaticName=\"Fledglings_x0020_\" />","<Field ID=\"{82642ec8-ef9b-478f-acf9-31f7d45fbc31}\" ReadOnly=\"TRUE\" Type=\"Computed\" Name=\"LinkTitle\" DisplayName=\"Title\" DisplayNameSrcField=\"Title\" ClassInfo=\"Menu\" AuthoringInfo=\"(linked to item with edit menu)\" ListItemMenuAllowed=\"Required\" LinkToItemAllowed=\"Prohibited\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"LinkTitle\" FromBaseType=\"TRUE\"><FieldRefs><FieldRef Name=\"Title\" /><FieldRef Name=\"LinkTitleNoMenu\" /><FieldRef Name=\"_EditMenuTableStart2\" /><FieldRef Name=\"_EditMenuTableEnd\" /></FieldRefs><DisplayPattern><FieldSwitch><Expr><GetVar Name=\"FreeForm\" /></Expr><Case Value=\"TRUE\"><Field Name=\"LinkTitleNoMenu\" /></Case><Default><HTML><![CDATA[<div class=\"ms-vb itx\" onmouseover=\"OnItem(this)\" CTXName=\"ctx]]></HTML><Field Name=\"_EditMenuTableStart2\" /><HTML><![CDATA[\">]]></HTML><Field Name=\"LinkTitleNoMenu\" /><HTML><![CDATA[</div>]]></HTML><HTML><![CDATA[<div class=\"s4-ctx\" onmouseover=\"OnChildItem(this.parentNode); return false;\">]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[<a onfocus=\"OnChildItem(this.parentNode.parentNode); return false;\" onclick=\"PopMenuFromChevron(event); return false;\" href=\"javascript:;\" title=\"Open Menu\"></a>]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[</div>]]></HTML></Default></FieldSwitch></DisplayPattern></Field>"]}
"Title","Species ","Egg %23","Nestlings ","Fledglings "
"Box 27","Bluebird ",,"5",
"Box #23","Bluebird ","5",,
"Box 21","Tree Swallow ","5 ",,
"Box 20","Bluebird ",,"3 (4days) ",
"Box #25","Empty ",,,
"Box #26","Bluebird ",,"5 ",
"Box #10","Tree Swallow ","5",,
"Box #11","Tree Swallow ","5",,
"Box #12","Bluebird ","1 egg ","4 nestings",
"Box #09","Tree Swallow ","0 eggs ",,
"Box #04","Bluebird (nest only) ",,,
"Box #3","Tree Swallow ",,,
"Box #07","Bluebird ","4 eggs ",,
"Box #8","House Wren ","2 eggs ",,
"Box#13","Bluebird or Tree swallow ",,,
"Box #13A","Tree Swallow ","5 eggs ",,
"Box #14","Tree Swallow ","1 egg ",,
"Box #15","Bluebird ","5 eggs ",,
"Box #16","Tree Swallow ","5 eggs ",,
"Box #17","Bluebird ",,"5 nestlings ",
"Box #18","Tree Swallow ","5 eggs ",,
"Box #19","Tree Swallow ","5 eggs ",,
"Box-27","Bluebird ",,"5 ",
"Box 28","Tree Swallow ","3",,
"Box 24","Tree Swallow ","4",,
"Box 23 ","Bluebird ",,"5",
"Box 20 (corner) ","Tree Swallow ",,,"5"
"Box 21","Bluebird ",,,
"Box 25","Empty ",,,
"Box 26","Bluebird ",,,"5"
"Box 10","Tree Swallow ",,"5",
"Box 11","Tree Swallow ",,"5",
"Box 12","Bluebird ",,"5",
"Box 09","Empty ",,,
"Box 04","Wren ","8",,
"Box 03","Tree Swallow ","5",,
"Box 01","Wren ",,,
"Box 02","Tree Swallow ",,"5",
"Box 05","Tree Swallow ","5",,
"Box 07","Wren","8",,
"Box 08","Wren ","8",,
"Box 13","Bluebird ","4",,
"Box 13A","Tree Swallow ","5",,
"Box 14","Tree Swallow ",,,"5"
"Box 15","Bluebird ",,"5",
"Box 16 ","Tree Swallow ",,"5",
"Box 17 ","Bluebird ",,"5",
"Box 18 ","Tree Swallow ",,,
"Box 19","Tree Swallow ",,,
"Box 29","Bluebird ",,"5",
"Box 30","Empty ",,,
"Box 31 ","5 pale pink eggs in a deep cavity ",,,
"Box 32","Tree Swallow ","0",,
"Box 33 ","Bluebird ","4",,
"Box 34 ","Tree Swallow ",,"5",
"Box 35 ","Bluebird ",,"5",
"Box 36","Wren over Bluebird nest - 5 eggs ","1",,
"Box 41","Bluebird ",,"Empty ",
"Box 42","Tree ",,"5",
"Box 43","Bluebird ",,"Empty nest saw adult ",
"Box 44","Empty nest ",,,
"Box 45 ","Wren takeover ",,,
"Box 40","Empty nest ",,,
"Box 39","Tree Swallow ",,"5",
"Box 37","Tree Swallow ","5",,
"Box 38","Wren ",,"8",
